index,ID,Name,Type,City,Zip,Grade,Rating1,Rating2,RatingAll,lat,lon,Enrollment
257,5881,Brushy Creek Elementary School,public,Round Rock,78681,PK-5,8,4,10.8,30.51133,-97.73747,800
258,5882,Chisholm Trail Middle School,public,Round Rock,78681,6-8,7,4,9.700000000000001,30.502638,-97.70229,1045
259,5889,Bluebonnet Elementary School,public,Round Rock,78681,PK-5,5,3,7.0,30.490246,-97.6912,572
260,7856,Lifesprings Academy,private,Leander,78641,K-11,9,5,12.4,30.5172,-97.726,388
261,5871,Deep Wood Elementary School,public,Round Rock,78681,PK-5,6,4,8.600000000000001,30.500263,-97.69713,373
262,5867,Fern Bluff Elementary School,public,Round Rock,78681,PK-5,10,4,13.0,30.516706,-97.72056,656
263,5875,Round Rock High School,public,Round Rock,78681,9-12,8,4,10.8,30.50922,-97.698395,3134
264,9360,Goals,public,Round Rock,78681,6-12,8,5,11.3,30.508442,-97.69732,3134
265,9655,Vista Ridge High School,public,Cedar Park,78613,9-12,8,4,10.8,30.516865,-97.78633,2252
266,9127,Charlotte Cox Elementary School,public,Cedar Park,78613,PK-5,7,5,10.200000000000001,30.503473,-97.80544,684
267,7880,Round Rock Christian Academy,private,Round Rock,78681,PK-12,6,4,8.600000000000001,30.509111,-97.69378,519
268,19336,Ronald Reagan Elementary School,public,Cedar Park,78613,PK-5,8,4,10.8,30.514778,-97.796616,882
269,9467,Artie L Henry Middle School,public,Cedar Park,78613,6-8,8,3,10.3,30.521412,-97.78858,1306
270,24393,Kingdom Heights Christian School,private,Round Rock,78681,PK-11,3,5,5.800000000000001,30.515911,-97.69033,58
271,5870,Claude Berkman Elementary School,public,Round Rock,78664,PK-5,5,5,8.0,30.51033,-97.68402,505
272,11035,Illuminated Academy of Texas,private,Round Rock,78681,PK-2,5,5,8.0,30.5172,-97.6916,505
273,9139,James Garland Walsh Middle School,public,Round Rock,78681,6-8,10,4,13.0,30.534952,-97.73412,1606
274,9659,Success High School,public,Round Rock,78664,9-12,10,2,12.0,30.495544,-97.67189,392
275,5878,Xenia Voigt Elementary School,public,Round Rock,78664,PK-5,5,3,7.0,30.49903,-97.673874,539
276,16170,Bluebonnet Montessori School of Lakeway,private,Austin,78734,PK-3,10,5,13.5,30.373077,-97.93844,58
277,4147,Lago Vista Elementary School,public,Austin,78734,PK-3,7,4,9.700000000000001,30.385658,-97.95364,526
278,4148,Lago Vista High School,public,Austin,78734,9-12,6,3,8.100000000000001,30.385658,-97.95364,460
279,4149,Lago Vista Middle School,public,Austin,78734,6-8,5,3,7.0,30.385658,-97.95364,425
280,20137,The Magnolia School,private,Austin,78734,PK-8 & ungraded,5,5,8.0,30.38985,-97.938255,15
281,10132,Canyon Ridge Middle School,public,Austin,78732,6-8,10,4,13.0,30.365335,-97.90305,1284
282,20854,International School of Texas,private,Austin,78734,PK-6,10,5,13.5,30.403622,-97.92939,120
283,9128,Laura Welch Bush Elementary School,public,Austin,78732,PK-5,10,4,13.0,30.366116,-97.89997,835
284,4260,Steiner Ranch Elementary School,public,Austin,78732,PK-5,9,4,11.9,30.379328,-97.88424,632
285,25212,4Points Academy,private,Austin,78732,1-9,9,4,11.9,30.389547,-97.88448,6
286,25177,AESA Prep Academy,private,Austin,78737,4-12,8,4,10.8,30.199083,-98.00528,100
287,12836,Montessori School Lake Travis,private,Bee Cave,78738,PK-1,10,4,13.0,30.3075,-97.9588,388
288,4158,Lake Travis High School,public,Austin,78738,9-12,8,3,10.3,30.324848,-97.96807,2699
289,4156,Lakeway Elementary School,public,Austin,78738,PK-5,9,5,12.4,30.327839,-97.96536,716
290,4157,Lake Travis Elementary School,public,Austin,78738,PK-5,8,4,10.8,30.327839,-97.96536,888
291,9471,Hudson Bend Middle School,public,Austin,78738,6-8,9,4,11.9,30.327839,-97.96536,1096
292,9933,Lake Pointe Elementary School,public,Austin,78738,PK-5,10,4,13.0,30.327839,-97.96536,717
293,11956,Serene Hills Elementary School,public,Austin,78738,PK-5,9,4,11.9,30.327839,-97.96536,769
294,25154,West Cypress Hills Elementary School,public,Austin,78738,PK-5,9,4,11.9,30.327839,-97.96536,605
295,8717,Bee Cave Elementary School,public,Austin,78738,PK-5,8,4,10.8,30.328274,-97.97106,623
296,20057,Abercorn International School,private,Lakeway,78734,PK-6,8,4,10.8,30.35834,-97.95479,68
297,4159,Lake Travis Middle School,public,Spicewood,78669,6-8,9,4,11.9,30.337112,-98.03066,1108
